order_id,user_id,city,restaurant_name,order_value,discount,final_amount,delivery_time,order_date,payment_method
1,1276,Delhi,Pizza Palace,727.4,20.66,706.74,20,2024-01-18,Card
2,1184,Delhi,Pizza Palace,770.54,86.04,684.5,47,2024-05-23,Cash
3,1077,Mumbai,Cafe Coffee,142.0,73.53,68.47,42,2024-01-27,UPI
4,1283,Pune,Biryani House,452.68,71.99,380.69,32,2024-01-10,UPI
5,1055,Pune,Cafe Coffee,328.89,85.74,243.15,37,2024-05-09,UPI
6,1747,Pune,Spicy Treats,261.4,55.22,206.18,45,2024-01-14,UPI
7,1704,Bangalore,Spicy Treats,641.28,86.11,555.17,41,2024-01-02,UPI
8,1931,Mumbai,Biryani House,102.4,52.26,50.14,55,2024-05-11,Card
9,1891,Mumbai,Burger Hub,540.07,7.01,533.06,24,2024-01-14,Cash
10,1110,Pune,Pizza Palace,768.01,12.9,755.11,28,2024-01-12,Cash
11,1607,Bangalore,Pizza Palace,600.22,86.53,513.69,43,2024-04-17,Card
12,1311,Bangalore,Spicy Treats,478.47,19.88,458.59,36,2024-06-05,Cash
13,1639,Pune,Spicy Treats,765.34,26.66,738.68,59,2024-01-13,Cash
14,1584,Bangalore,Pizza Palace,280.64,45.5,235.14,54,2024-01-01,Card
15,1864,Pune,Cafe Coffee,496.79,78.55,418.24,51,2024-04-06,UPI
16,1876,Hyderabad,Biryani House,208.05,58.06,149.99,55,2024-04-05,Card
17,1553,Pune,Cafe Coffee,326.66,39.5,287.16,47,2024-06-17,UPI
18,1429,Pune,Pizza Palace,619.83,97.41,522.42,29,2024-03-29,Cash
19,1514,Delhi,Burger Hub,306.08,14.39,291.69,58,2024-03-12,UPI
20,1541,Pune,Cafe Coffee,232.75,35.33,197.42,21,2024-04-28,Card
21,1652,Mumbai,Biryani House,434.01,50.97,383.04,27,2024-05-08,Cash
22,1567,Pune,Biryani House,471.62,99.76,371.86,36,2024-02-11,Cash
23,1803,Bangalore,Spicy Treats,255.74,59.15,196.59,40,2024-05-18,UPI
24,1114,Delhi,Burger Hub,537.32,11.18,526.14,38,2024-01-31,UPI
25,1045,Delhi,Biryani House,678.38,37.88,640.5,24,2024-06-18,Cash
26,1021,Hyderabad,Cafe Coffee,394.73,4.76,389.97,57,2024-03-18,UPI
27,1208,Pune,Pizza Palace,499.11,71.51,427.6,22,2024-05-23,Card
28,1717,Hyderabad,Biryani House,615.15,3.55,611.6,55,2024-05-22,Cash
29,1876,Delhi,Pizza Palace,321.53,39.35,282.18,47,2024-03-20,Card
30,1452,Delhi,Biryani House,161.24,92.48,68.76,23,2024-03-03,UPI
31,1752,Delhi,Cafe Coffee,359.28,73.4,285.88,47,2024-05-16,UPI
32,1661,Delhi,Pizza Palace,479.18,77.14,402.04,30,2024-03-21,Card
33,1159,Hyderabad,Spicy Treats,405.96,52.71,353.25,30,2024-05-04,UPI
34,1262,Hyderabad,Burger Hub,162.75,57.77,104.98,24,2024-05-20,Cash
35,1420,Delhi,Biryani House,323.47,53.28,270.19,60,2024-04-09,Card
36,1338,Delhi,Cafe Coffee,520.48,55.09,465.39,47,2024-05-15,Cash
37,1775,Delhi,Burger Hub,137.96,52.94,85.02,34,2024-05-17,UPI
38,1467,Hyderabad,Burger Hub,760.7,58.09,702.61,58,2024-03-01,Card
39,1769,Bangalore,Cafe Coffee,104.89,50.56,54.33,52,2024-01-04,UPI
40,1425,Hyderabad,Biryani House,693.46,20.68,672.78,54,2024-05-11,Cash
41,1788,Mumbai,Spicy Treats,210.77,17.81,192.96,58,2024-01-04,Cash
